generated_utc,git_commit,pytest_label,nodeid,test_file,test_class,test_name,outcome,duration_ms,exception_type,exception_message,first_project_frame,markers
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__payroll_allowed_when_payroll_enabled,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__payroll_allowed_when_payroll_enabled,pass,49,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__admin_banking_enabled_renders_without_enforcement_header,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__admin_banking_enabled_renders_without_enforcement_header,pass,700,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__admin_banking_rejects_disabled_class_scope,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__admin_banking_rejects_disabled_class_scope,pass,677,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__capability_state_unresolved_fails_closed,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__capability_state_unresolved_fails_closed,pass,13,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__admin_store_rejects_disabled_class_scope,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__admin_store_rejects_disabled_class_scope,pass,668,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__admin_hall_pass_rejects_disabled_class_scope,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__admin_hall_pass_rejects_disabled_class_scope,pass,662,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__admin_payroll_rejects_disabled_class_scope,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__admin_payroll_rejects_disabled_class_scope,pass,689,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__admin_store_delete_rejects_disabled_class_scope,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__admin_store_delete_rejects_disabled_class_scope,pass,694,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_flag_enforcement.py::test_DOM_CLASS_001__student_rent_rejects_disabled_class_scope,tests/dom/class/test_feature_flag_enforcement.py,,test_DOM_CLASS_001__student_rent_rejects_disabled_class_scope,pass,661,,,,critical|regression
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_scope_single_active_class.py::test_DOM_CLASS_001__feature_options_never_include_sibling_class,tests/dom/class/test_feature_scope_single_active_class.py,,test_DOM_CLASS_001__feature_options_never_include_sibling_class,pass,1221,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_scope_single_active_class.py::test_DOM_CLASS_001__resolve_join_code_binds_to_active_class,tests/dom/class/test_feature_scope_single_active_class.py,,test_DOM_CLASS_001__resolve_join_code_binds_to_active_class,pass,1237,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_scope_single_active_class.py::test_DOM_CLASS_001__require_scope_ignores_requested_block,tests/dom/class/test_feature_scope_single_active_class.py,,test_DOM_CLASS_001__require_scope_ignores_requested_block,pass,1240,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_feature_scope_single_active_class.py::test_DOM_CLASS_001__require_scope_404s_when_no_active_class,tests/dom/class/test_feature_scope_single_active_class.py,,test_DOM_CLASS_001__require_scope_404s_when_no_active_class,pass,1248,,,,
